LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,TotalPop,FemalePop,MalePop
E08000032,Bradford,E01010568,Bradford 016A,313,141,172
E08000032,Bradford,E01010569,Bradford 016B,382,176,206
E08000032,Bradford,E01010570,Bradford 018A,268,102,166
E08000032,Bradford,E01010571,Bradford 016C,462,213,249
E08000032,Bradford,E01010572,Bradford 016D,254,123,131
E08000032,Bradford,E01010573,Bradford 013A,346,164,182
E08000032,Bradford,E01010574,Bradford 013B,240,125,115
E08000032,Bradford,E01010575,Bradford 013C,263,113,150
E08000032,Bradford,E01010576,Bradford 016E,264,134,130
E08000032,Bradford,E01010577,Bradford 013D,322,136,186
E08000032,Bradford,E01010578,Bradford 015A,220,104,116
E08000032,Bradford,E01010579,Bradford 010A,228,111,117
E08000032,Bradford,E01010580,Bradford 010B,537,252,285
E08000032,Bradford,E01010581,Bradford 015B,403,170,233
E08000032,Bradford,E01010582,Bradford 015C,361,173,188
E08000032,Bradford,E01010583,Bradford 018B,292,126,166
E08000032,Bradford,E01010584,Bradford 015D,336,185,151
E08000032,Bradford,E01010585,Bradford 015E,390,166,224
E08000032,Bradford,E01010586,Bradford 022A,258,117,141
E08000032,Bradford,E01010587,Bradford 022B,455,219,236
E08000032,Bradford,E01010588,Bradford 022C,317,161,156
E08000032,Bradford,E01010589,Bradford 022D,186,85,101
E08000032,Bradford,E01010590,Bradford 031A,450,208,242
E08000032,Bradford,E01010591,Bradford 022E,370,176,194
E08000032,Bradford,E01010592,Bradford 031B,305,157,148
E08000032,Bradford,E01010593,Bradford 022F,281,127,154
E08000032,Bradford,E01010594,Bradford 031C,319,173,146
E08000032,Bradford,E01010595,Bradford 031D,497,227,270
E08000032,Bradford,E01010596,Bradford 022G,298,146,152
E08000032,Bradford,E01010597,Bradford 028A,366,158,208
E08000032,Bradford,E01010598,Bradford 028B,383,172,211
E08000032,Bradford,E01010599,Bradford 028C,397,195,202
E08000032,Bradford,E01010600,Bradford 028D,399,207,192
E08000032,Bradford,E01010601,Bradford 032A,516,258,258
E08000032,Bradford,E01010602,Bradford 028E,429,218,211
E08000032,Bradford,E01010603,Bradford 024A,387,182,205
E08000032,Bradford,E01010604,Bradford 024B,321,145,176
E08000032,Bradford,E01010605,Bradford 024C,442,201,241
E08000032,Bradford,E01010606,Bradford 064E,627,297,330
E08000032,Bradford,E01010607,Bradford 064C,682,316,366
E08000032,Bradford,E01010608,Bradford 045A,560,265,295
E08000032,Bradford,E01010609,Bradford 046A,430,217,213
E08000032,Bradford,E01010610,Bradford 046B,647,284,363
E08000032,Bradford,E01010611,Bradford 046C,663,304,359
E08000032,Bradford,E01010612,Bradford 052A,527,218,309
E08000032,Bradford,E01010613,Bradford 045B,422,220,202
E08000032,Bradford,E01010614,Bradford 046D,533,193,340
E08000032,Bradford,E01010615,Bradford 053A,338,171,167
E08000032,Bradford,E01010616,Bradford 053B,648,333,315
E08000032,Bradford,E01010617,Bradford 064B,565,267,298
E08000032,Bradford,E01010618,Bradford 038A,575,243,332
E08000032,Bradford,E01010619,Bradford 038B,712,337,375
E08000032,Bradford,E01010620,Bradford 042A,643,285,358
E08000032,Bradford,E01010621,Bradford 042B,767,335,432
E08000032,Bradford,E01010622,Bradford 042C,928,456,472
E08000032,Bradford,E01010623,Bradford 042D,520,245,275
E08000032,Bradford,E01010624,Bradford 042E,681,296,385
E08000032,Bradford,E01010625,Bradford 038C,683,305,378
E08000032,Bradford,E01010626,Bradford 038D,748,338,410
E08000032,Bradford,E01010627,Bradford 038E,493,223,270
E08000032,Bradford,E01010628,Bradford 040A,485,222,263
E08000032,Bradford,E01010629,Bradford 040B,697,302,395
E08000032,Bradford,E01010630,Bradford 040C,664,296,368
E08000032,Bradford,E01010631,Bradford 040D,519,264,255
E08000032,Bradford,E01010632,Bradford 040E,542,252,290
E08000032,Bradford,E01010633,Bradford 047A,338,151,187
E08000032,Bradford,E01010634,Bradford 047B,304,138,166
E08000032,Bradford,E01010635,Bradford 047C,365,167,198
E08000032,Bradford,E01010636,Bradford 047D,277,152,125
E08000032,Bradford,E01010637,Bradford 047E,824,550,274
E08000032,Bradford,E01010638,Bradford 062A,190,85,105
E08000032,Bradford,E01010639,Bradford 063C,374,163,211
E08000032,Bradford,E01010640,Bradford 063A,348,171,177
E08000032,Bradford,E01010641,Bradford 063B,256,111,145
